,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,new_sum_loans,new_div_loans,exist_NY,grade_cat
0,,,2500,2500,2500, 36 months,13.56,84.92,C,C1,Chef,10+ years,RENT,55000,Not Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,109xx,NY,18.24,0,Apr-01,1,,45.0,9,1,4341,10.3,34,w,2386.02,2386.02,167.02,167.02,113.98,53.04,0,0,0,Feb-19,84.92,Mar-19,Feb-19,0,,1,Individual,,,,0,0,16901,2,2,1,2,2.0,12560,69.0,2,7,2137,28,42000,1,11,2,9,1878,34360.0,5.9,0,0,140.0,212,1,1,0,1.0,,2.0,,0,2,5,3,3,16,7,18,5,9,0.0,0,0,3,100.0,0.0,1,0,60124,16901,36500,18124,,,,,,,,,,,,N,5000,184.36578171091446,True,2
1,,,30000,30000,30000, 60 months,18.94,777.23,D,D2,Postmaster ,10+ years,MORTGAGE,90000,Source Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,713xx,LA,26.52,0,Jun-87,0,71.0,75.0,13,1,12315,24.2,44,w,29387.75,29387.75,1507.11,1507.11,612.25,894.86,0,0,0,Feb-19,777.23,Mar-19,Feb-19,0,,1,Individual,,,,0,1208,321915,4,4,2,3,3.0,87153,88.0,4,5,998,57,50800,2,15,2,10,24763,13761.0,8.3,0,0,163.0,378,4,3,3,4.0,,4.0,,0,2,4,4,9,27,8,14,4,13,0.0,0,0,6,95.0,0.0,1,0,372872,99468,15000,94072,,,,,,,,,,,,N,60000,1583.949313621964,False,3
2,,,5000,5000,5000, 36 months,17.97,180.69,D,D1,Administrative,6 years,MORTGAGE,59280,Source Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,490xx,MI,10.51,0,Apr-11,0,,,8,0,4599,19.1,13,w,4787.21,4787.21,353.89,353.89,212.79,141.1,0,0,0,Feb-19,180.69,Mar-19,Feb-19,0,,1,Individual,,,,0,0,110299,0,1,0,2,14.0,7150,72.0,0,2,0,35,24100,1,5,0,4,18383,13800.0,0.0,0,0,87.0,92,15,14,2,77.0,,14.0,,0,0,3,3,3,4,6,7,3,8,0.0,0,0,0,100.0,0.0,0,0,136927,11749,13800,10000,,,,,,,,,,,,N,10000,278.2415136338342,False,3
3,,,4000,4000,4000, 36 months,18.94,146.51,D,D2,IT Supervisor,10+ years,MORTGAGE,92000,Source Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,985xx,WA,16.74,0,Feb-06,0,,,10,0,5468,78.1,13,w,3831.93,3831.93,286.71,286.71,168.07,118.64,0,0,0,Feb-19,146.51,Mar-19,Feb-19,0,,1,Individual,,,,0,686,305049,1,5,3,5,5.0,30683,68.0,0,0,3761,70,7000,2,4,3,5,30505,1239.0,75.2,0,0,62.0,154,64,5,3,64.0,,5.0,,0,1,2,1,2,7,2,3,2,10,0.0,0,0,3,100.0,100.0,0,0,385183,36151,5000,44984,,,,,,,,,,,,N,8000,211.19324181626186,False,3
4,,,30000,30000,30000, 60 months,16.14,731.78,C,C4,Mechanic,10+ years,MORTGAGE,57250,Not Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,212xx,MD,26.35,0,Dec-00,0,,,12,0,829,3.6,26,w,29339.02,29339.02,1423.21,1423.21,660.98,762.23,0,0,0,Feb-19,731.78,Mar-19,Feb-19,0,,1,Individual,,,,0,0,116007,3,5,3,5,4.0,28845,89.0,2,4,516,54,23100,1,0,0,9,9667,8471.0,8.9,0,0,53.0,216,2,2,2,2.0,,13.0,,0,2,2,3,8,9,6,15,2,12,0.0,0,0,5,92.3,0.0,0,0,157548,29674,9300,32332,,,,,,,,,,,,N,60000,1858.736059479554,False,2
5,,,5550,5550,5550, 36 months,15.02,192.45,C,C3,Director COE,10+ years,MORTGAGE,152500,Not Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,461xx,IN,37.94,0,Sep-02,3,,,18,0,53854,48.1,44,w,5302.5,5302.5,377.95,377.95,247.5,130.45,0,0,0,Feb-19,192.45,Mar-19,Feb-19,0,,1,Individual,,,,0,0,685749,1,7,2,3,4.0,131524,72.0,1,4,17584,58,111900,2,4,6,8,40338,23746.0,64.0,0,0,195.0,176,10,4,6,20.0,,3.0,,0,4,6,6,10,23,9,15,7,18,0.0,0,0,4,100.0,60.0,0,0,831687,185378,65900,203159,,,,,,,,,,,,N,11100,369.50732356857526,False,2
6,,,2000,2000,2000, 36 months,17.97,72.28,D,D1,Account Manager,4 years,RENT,51000,Source Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,606xx,IL,2.4,0,Nov-04,1,,,1,0,0,,9,w,1914.71,1914.71,141.56,141.56,85.29,56.27,0,0,0,Feb-19,72.28,Mar-19,Feb-19,0,,1,Individual,,,,0,0,854,0,0,2,3,7.0,0,,0,1,0,100,0,0,0,1,4,854,,,0,0,169.0,40,23,7,0,,,1.0,,0,0,0,0,3,5,0,3,0,1,0.0,0,0,2,100.0,,0,0,854,854,0,0,,,,,,,,,,,,N,4000,111.29660545353367,False,3
7,,,6000,6000,6000, 36 months,13.56,203.79,C,C1,Assistant Director,10+ years,RENT,65000,Source Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,460xx,IN,30.1,0,Nov-97,0,,,19,0,38476,69.3,37,w,5864.01,5864.01,201.53,201.53,135.99,65.54,0,0,0,Feb-19,208.31,Mar-19,Feb-19,0,,1,Individual,,,,0,0,91535,0,5,0,1,23.0,53059,87.0,0,2,9413,74,55500,1,2,0,3,5085,3034.0,90.8,0,0,169.0,253,13,13,1,14.0,,13.0,,0,7,12,8,10,15,14,20,12,19,0.0,0,0,0,100.0,85.7,0,0,117242,91535,33100,61742,,,,,,,,,,,,N,12000,442.4778761061947,False,2
8,,,5000,5000,5000, 36 months,17.97,180.69,D,D1,Legal Assistant III,10+ years,MORTGAGE,53580,Source Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,327xx,FL,21.16,0,Aug-98,1,32.0,,8,0,8018,35.2,38,w,4786.79,4786.79,353.89,353.89,213.21,140.68,0,0,0,Feb-19,180.69,Mar-19,Feb-19,0,45.0,1,Individual,,,,0,0,41882,5,2,5,5,3.0,33864,98.0,1,6,3132,73,22800,2,1,4,12,5235,13786.0,35.9,0,0,145.0,244,6,3,3,6.0,33.0,2.0,32.0,2,4,5,5,10,20,6,15,5,8,0.0,0,0,6,78.9,60.0,0,0,57426,41882,21500,34626,,,,,,,,,,,,N,10000,278.2415136338342,False,3
9,,,6000,6000,6000, 36 months,14.47,206.44,C,C2,,< 1 year,OWN,300000,Not Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,068xx,CT,17.43,1,Apr-02,1,17.0,,38,0,65950,49.8,58,w,5730.2,5730.2,405.64,405.64,269.8,135.84,0,0,0,Feb-19,206.44,Mar-19,Feb-19,0,,1,Individual,,,,0,0,349502,1,4,1,3,7.0,39961,45.0,1,12,15926,48,132500,2,2,2,15,9197,38683.0,60.6,0,0,166.0,200,4,4,1,4.0,,4.0,17.0,0,16,20,19,26,9,33,48,20,38,0.0,0,0,2,100.0,26.3,0,0,477390,105911,98300,89600,,,,,,,,,,,,N,12000,414.651002073255,False,2
10,,,5500,5500,5500, 36 months,22.35,211.05,D,D5,,< 1 year,MORTGAGE,50000,Not Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,711xx,LA,15.94,1,May-07,0,22.0,,6,0,4529,94.4,13,w,5280.75,5280.75,411.86,411.86,219.25,192.61,0,0,0,Feb-19,211.05,Mar-19,Feb-19,0,22.0,1,Individual,,,,0,0,228151,2,2,1,2,4.0,13656,87.0,1,1,2837,89,4800,2,0,0,3,38025,271.0,94.4,0,0,139.0,105,5,4,3,5.0,22.0,4.0,22.0,2,3,3,3,4,5,3,5,3,6,0.0,0,1,2,84.6,100.0,0,0,243452,18185,4800,15649,,,,,,,,,,,,N,11000,246.0850111856823,False,3
11,,,28000,28000,28000, 60 months,11.31,613.13,B,B3,Consultant,2 years,MORTGAGE,70000,Not Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,300xx,GA,22.01,0,Dec-03,1,,,10,0,56152,55.9,23,w,27298.25,27298.25,1199.87,1199.87,701.75,498.12,0,0,0,Feb-19,613.13,Mar-19,Feb-19,0,,1,Individual,,,,0,0,177406,1,1,0,0,62.0,9484,54.0,1,2,16284,56,100400,1,0,1,2,17741,44248.0,55.9,0,0,180.0,165,6,6,1,6.0,,6.0,,0,5,5,8,9,13,8,9,5,10,0.0,0,0,1,100.0,37.5,0,0,259435,65636,100400,17535,,,,,,,,,,,,N,56000,2475.685234305924,False,1
12,,,11200,11200,11200, 36 months,8.19,351.95,A,A4,Job Coach Supervisor,10+ years,MORTGAGE,65000,Not Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,840xx,UT,23.6,0,Jun-03,0,,,20,0,8836,16.6,27,w,10647.1,10647.1,696.26,696.26,552.9,143.36,0,0,0,Feb-19,351.95,Mar-19,Feb-19,0,,1,Individual,,,,0,0,249643,2,8,2,3,1.0,69959,68.0,0,0,4603,45,53100,3,0,3,3,12482,26289.0,24.7,0,0,170.0,186,25,1,4,65.0,,1.0,,0,4,5,5,5,13,10,10,5,20,0.0,0,0,2,100.0,20.0,0,0,345654,78795,34900,114578,,,,,,,,,,,,N,22400,1367.5213675213677,False,0
13,,,6500,6500,6500, 36 months,17.97,234.9,D,D1,Quality Field Engineer,4 years,MORTGAGE,154000,Source Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,278xx,NC,28.78,2,Oct-08,0,6.0,,27,0,23754,60.4,41,w,6222.82,6222.82,460.07,460.07,277.18,182.89,0,0,0,Feb-19,234.9,Mar-19,Feb-19,0,6.0,1,Individual,,,,0,0,116747,2,8,3,5,1.0,92993,78.0,1,6,3943,72,39300,3,3,3,11,4324,4578.0,62.8,1,0,122.0,74,11,1,0,13.0,,4.0,,1,5,19,5,8,17,19,24,19,27,0.0,0,1,4,90.2,20.0,0,0,169160,116747,12300,129860,,,,,,,,,,,,N,13000,361.71396772398447,False,3
14,,,22000,22000,22000, 60 months,12.98,500.35,B,B5,Teller ,10+ years,MORTGAGE,65000,Source Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,413xx,KY,11.19,0,Jul-90,0,,,8,0,134,0.5,16,w,21472.4,21472.4,976.9,976.9,527.6,449.3,0,0,0,Feb-19,500.35,Mar-19,Feb-19,0,,1,Individual,,,,0,0,22337,1,1,0,0,36.0,22127,,1,2,3,1,29500,0,0,0,2,3191,27197.0,0.0,0,0,162.0,341,4,4,1,4.0,,15.0,,0,1,2,3,4,6,6,8,2,8,0.0,0,0,1,100.0,0.0,0,0,71932,22337,27200,38535,,,,,,,,,,,,N,44000,1694.915254237288,False,1
15,,,3500,3500,3500, 36 months,16.14,123.3,C,C4,respritory therapist,10+ years,MORTGAGE,80000,Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,604xx,IL,13.63,0,Dec-88,0,43.0,,7,0,8952,58.5,27,w,3346.52,3346.52,218.36,218.36,153.48,64.88,0,0,0,Feb-19,123.3,Mar-19,Feb-19,0,48.0,1,Joint App,104424.0,10.77,Verified,0,0,16085,2,2,0,0,57.0,7133,26.0,3,4,3873,38,15300,0,0,1,4,2298,4127.0,48.4,0,0,144.0,360,4,4,2,7.0,,7.0,117.0,7,1,3,2,3,10,5,15,3,7,0.0,0,0,3,76.0,50.0,0,0,42328,16085,8000,27028,10286.0,May-02,2.0,3.0,2.0,44.1,0.0,6.0,0.0,0.0,,N,7000,216.85254027261462,False,2
16,,,7000,7000,7000, 36 months,12.98,235.8,B,B5,Worship Director,4 years,MORTGAGE,102500,Not Verified,Dec-18,Current,n,,,house,Home buying,436xx,OH,15.2,0,Dec-02,0,38.0,,9,0,1057,7.2,21,w,6678.1,6678.1,464.03,464.03,321.9,142.13,0,0,0,Feb-19,235.8,Mar-19,Feb-19,0,68.0,1,Individual,,,,0,0,174891,1,4,1,1,10.0,75652,78.0,1,2,0,69,14700,1,0,3,3,19432,7200.0,0.0,0,0,182.0,192,6,6,4,26.0,,10.0,,1,0,2,2,3,8,4,9,2,9,0.0,0,0,2,80.0,0.0,0,0,214624,76709,7200,96826,,,,,,,,,,,,N,14000,539.291217257319,False,1
17,,,25000,25000,25000, 60 months,16.91,620.11,C,C5,Processor ,10+ years,MORTGAGE,23878,Not Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,453xx,OH,6.26,0,Oct-10,0,,,4,0,3044,54.4,8,w,24460.59,24460.59,1204.99,1204.99,539.41,665.58,0,0,0,Feb-19,620.11,Mar-19,Feb-19,0,,1,Joint App,64793.0,18.91,Not Verified,0,0,79660,0,0,0,0,47.0,0,,0,0,1044,54,5600,0,0,0,0,19915,0.0,104.4,0,0,90.0,98,27,27,2,84.0,,,,0,1,3,1,1,2,3,4,3,4,0.0,0,0,0,100.0,100.0,0,0,92334,3044,1000,0,24654.0,Aug-03,0.0,2.0,9.0,78.9,1.0,12.0,0.0,0.0,,N,50000,1478.415138971023,False,2
18,,,16000,16000,16000, 60 months,20.89,431.87,D,D4,Neonatal Nurse Practitioner,4 years,MORTGAGE,120000,Not Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,720xx,AR,27.57,1,Jul-05,0,8.0,,13,0,18826,82.2,37,w,15690.66,15690.66,835.89,835.89,309.34,526.55,0,0,0,Feb-19,431.87,Mar-19,Feb-19,0,35.0,1,Individual,,,,0,0,434239,1,6,1,4,4.0,247928,90.0,1,1,9439,87,22900,6,1,2,5,33403,430.0,96.8,0,0,136.0,146,12,4,2,12.0,48.0,4.0,8.0,2,2,4,2,5,24,6,10,4,13,0.0,0,0,2,86.5,100.0,0,0,444217,266754,13500,239338,,,,,,,,,,,,N,32000,765.9167065581618,False,3
19,,,13000,13000,13000, 60 months,14.47,305.67,C,C2,Stationary Engineer,10+ years,MORTGAGE,75000,Not Verified,Dec-18,Current,n,,,debt_consolidation,Debt consolidation,741xx,OK,26.16,0,Feb-01,1,,,9,0,15551,58.2,13,w,12700.38,12700.38,595.66,595.66,299.62,296.04,0,0,0,Feb-19,305.67,Mar-19,Feb-19,0,,1,Individual,,,,0,0,131400,0,5,1,4,10.0,35369,70.0,0,0,13287,66,26700,2,0,1,4,14600,11149.0,58.2,0,0,159.0,214,81,10,1,81.0,,5.0,,0,3,3,3,3,8,3,4,3,9,0.0,0,0,1,100.0,33.3,0,0,176598,50920,26700,50898,,,,,,,,,,,,N,26000,898.4105044920525,False,2
20,,,10000,10000,10000, 36 months,13.56,339.65,C,C1,,< 1 year,MORTGAGE,65000,Not Verified,Dec-18,Current,n,,,credit_card,Credit card refinancing,937xx,CA,10.62,0,Dec-04,1,30.0,100.0,14,1,9765,74.0,28,w,9544.14,9544.14,668.0,668.0,455.86,212.14,0,0,0,Feb-19,339.65,Mar-19,Feb-19,0,45.0,1,Individual,,,,0,6389,45972,0,5,0,0,65.0,36207,104.0,2,4,3359,96,13200,1,0,2,4,3536,1777.0,84.5,0,0,168.0,142,7,7,0,7.0,35.0,5.0,30.0,2,5,6,5,7,17,9,11,6,14,0.0,0,0,2,77.8,80.0,1,0,48052,45972,11500,34852,,,,,,,,,,,,N,20000,737.4631268436578,False,2
